model_name,run_id,data_name,task_name,metric_name,function_name,result_value,result_cr,result_type
CodeLlama-13b-Instruct-hf,0,human_3,Data cleaning and preprocessing,Column Integrity Check,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,0,human_3,Data exploration and statistics understand,Row Count Comparison,Data Consistency,Error,0,single task
CodeLlama-13b-Instruct-hf,0,human_3,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,1,human_15,Data visualization,Bar Chart Color Consistency,Visualization Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,1,human_15,Data visualization,Line Chart Line Style Consistency,Visualization Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,1,human_15,Data visualization,Scatter Chart Point Properties,Visualization Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,1,human_15,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,1,csv_excel_0,Data cleaning and preprocessing,Data Completeness Ratio,Data Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,1,csv_excel_0,Data visualization,Visualization Quality Score,Visualization Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,1,csv_excel_0,Interpretability and report generation,Report Completeness Score,Report Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,1,csv_excel_0,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,3,csv_excel_3,Data cleaning and preprocessing,Data Completeness,Data Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,3,csv_excel_3,Data exploration and statistics understand,Descriptive Statistics Accuracy,Data Accuracy,Error,0,single task
CodeLlama-13b-Instruct-hf,3,csv_excel_3,Interpretability and report generation,Report Coherency,Report Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,3,csv_excel_3,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,6,csv_excel_3,Data cleaning and preprocessing,Data Completeness,Data Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,6,csv_excel_3,Data exploration and statistics understand,Descriptive Statistics Accuracy,Data Accuracy,Error,0,single task
CodeLlama-13b-Instruct-hf,6,csv_excel_3,Interpretability and report generation,Report Coherency,Report Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,6,csv_excel_3,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,4,human_16,Pattern recognition,Clustering Quality (Silhouette Score),Silhouette Score,Error,0,single task
CodeLlama-13b-Instruct-hf,4,human_16,Data visualization,Visualization Accuracy (Visual Similarity),Visualization Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,4,human_16,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,3,dl_6,Data cleaning and preprocessing,Data Cleaning Accuracy,Data Cleaning Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,3,dl_6,Data exploration and statistics understand,Basic Statistical Analysis Completeness,Data Integrity,Error,0,single task
CodeLlama-13b-Instruct-hf,3,dl_6,Data mining,Clustering Validity,Clustering Validity,Error,0,single task
